,Brand Name,Gender,MRP,Selling Price,Discount Percent,Rating,Discount Amount,Price_Category,Rating_Category,Usage_Type
164,Reebok,Women,7999,2494,64,3.6,5505,Mid,Average,Casual
165,U.S. Polo Assn.,Unisex,3799,2526,64,5.0,1273,Mid,Excellent,Casual
166,PUMA,Unisex,5999,2405,55,3.9,3594,Mid,Average,Unknown
167,U.S. Polo Assn.,Men,3499,3200,55,3.4,299,Upper-Mid,Average,Casual
168,new balance,Unisex,7499,3089,50,4.4,4410,Upper-Mid,Good,Casual
169,PUMA,Men,6999,2730,50,4.0,4269,Mid,Average,Casual
170,PUMA,Women,1599,2147,50,4.2,-548,Mid,Good,Unknown
171,U.S. Polo Assn.,Unisex,3999,3440,50,4.3,559,Upper-Mid,Good,Casual
172,Lotto,Women,3799,2432,44,4.8,1367,Mid,Excellent,Casual
173,PUMA,Men,9999,2349,44,4.7,7650,Mid,Excellent,Casual
174,Reebok,Unisex,3799,2880,43,5.0,919,Mid,Excellent,Casual
175,U.S. Polo Assn.,Women,3499,4102,43,4.0,-603,Upper-Mid,Average,Casual
176,PUMA,Men,7499,3684,60,4.3,3815,Upper-Mid,Good,Casual
177,U.S. Polo Assn.,Women,3799,1749,60,4.5,2050,Low-Mid,Good,Casual
178,Skechers,Unisex,4999,1420,51,3.7,3579,Low-Mid,Average,Casual
179,Campus,Women,4999,999,51,5.0,4000,Budget,Excellent,Casual
180,Cruiser,Women,5499,3419,53,3.3,2080,Upper-Mid,Average,Casual
181,Boldfit,Men,5999,7498,53,4.5,-1499,Premium,Good,Casual
182,Campus,Women,3499,2621,39,5.0,878,Mid,Excellent,Casual
183,Bacca Bucci,Women,5999,3600,39,4.0,2399,Upper-Mid,Average,Casual
184,Boldfit,Women,3799,2386,65,4.6,1413,Mid,Excellent,Unknown
185,Campus,Unisex,5999,1899,65,2.6,4100,Low-Mid,Poor,Casual
186,Bacca Bucci,Men,1799,1664,64,4.6,135,Low-Mid,Excellent,Casual
187,Cruiser,Women,2499,1749,64,4.5,750,Low-Mid,Good,Casual
188,Cruiser,Women,2799,2526,33,5.0,273,Mid,Excellent,Casual
189,Centrino,Women,2799,2399,33,4.0,400,Mid,Average,Casual
190,PUMA,Women,3499,2275,50,4.1,1224,Mid,Good,Unknown
191,Woodland,Men,3499,2814,50,4.1,685,Mid,Good,Casual
192,The Souled Store,Men,2799,2621,19,4.1,178,Mid,Good,Casual
193,Bacca Bucci,Men,2699,2575,19,3.8,124,Mid,Average,Casual
194,Boldfit,Men,2799,849,44,3.4,1950,Budget,Average,Casual
195,Campus,Men,3499,1199,44,3.3,2300,Low-Mid,Average,Casual
196,U.S. Polo Assn.,Men,2499,649,50,3.4,1850,Budget,Average,Unknown
